method,agents,freq,ms_gap%,swt_gap%,rt_gap%,trigger
LNS(1s)+wPBS-MLA*,50,0.2,0.10,-5.70,201.4,swt+rt
LNS(1s)+wPBS-MLA*,10,0.5,2.30,5.30,29.5,swt+rt
LNS(1s)+wPBS-MLA*,20,0.5,-1.40,2.50,-8.7,rt
LNS(1s)+wPBS-MLA*,40,0.5,-1.10,-2.30,-12.1,rt
LNS(1s)+wPBS-MLA*,50,0.5,-1.00,-4.00,3.5,swt+rt
LNS(1s)+wPBS-MLA*,10,1,1.50,1.30,24.0,rt
LNS(1s)+wPBS-MLA*,20,1,0.00,1.60,-33.9,rt
LNS(1s)+wPBS-MLA*,30,1,1.50,6.20,-45.5,swt+rt
LNS(1s)+wPBS-MLA*,40,1,0.00,0.60,-46.0,rt
LNS(1s)+wPBS-MLA*,50,1,0.60,-2.40,-46.2,rt
LNS(1s)+wPBS-MLA*,10,2,-2.00,0.60,21.3,rt
LNS(1s)+wPBS-MLA*,20,2,2.50,2.10,-37.0,rt
LNS(1s)+wPBS-MLA*,40,2,1.50,6.30,-63.1,swt+rt
LNS(1s)+wPBS-MLA*,50,2,0.30,16.90,-67.1,swt+rt
LNS(1s)+wPBS-MLA*,10,5,-0.70,0.70,17.9,rt
LNS(1s)+wPBS-MLA*,20,5,-0.50,0.80,-39.6,rt
LNS(1s)+wPBS-MLA*,40,5,2.50,4.90,-65.1,swt+rt
LNS(1s)+wPBS-MLA*,50,5,0.40,7.50,-68.2,swt+rt
LNS(1s)+wPBS-MLA*,10,10,-1.60,-0.70,20.0,rt
LNS(1s)+wPBS-MLA*,20,10,0.50,2.10,-38.7,rt
LNS(1s)+wPBS-MLA*,40,10,5.50,4.70,-65.1,ms+swt+rt
LNS(1s)+wPBS-MLA*,50,10,3.80,6.00,-71.1,ms+swt+rt
LNS(1s)+wPBS-MLA*,10,500,-1.80,0.50,17.8,rt
LNS(1s)+wPBS-MLA*,20,500,-0.30,0.30,-39.9,rt
LNS(1s)+wPBS-MLA*,30,500,8.00,4.60,-56.5,ms+swt+rt
LNS(1s)+wPBS-MLA*,40,500,7.10,6.80,-66.8,ms+swt+rt
LNS(1s)+wPBS-MLA*,50,500,11.60,4.90,-70.3,ms+swt+rt
LNS(1s)+wPBS-MLSIPP,10,0.2,0.10,0.10,1454522.4,rt
LNS(1s)+wPBS-MLSIPP,20,0.2,0.10,-1.80,555655.2,rt
LNS(1s)+wPBS-MLSIPP,30,0.2,0.20,-4.50,275286.8,swt+rt
LNS(1s)+wPBS-MLSIPP,40,0.2,0.20,-4.90,158156.9,swt+rt
